Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8861,298.0,12,1.0,10.0,71.0,0.07,0.06,0.0,0.02,0.15
16363,409.0,15,1.0,1.0,93.0,0.0,0.0,0.01,0.0,0.01
3476,167.0,11,1.0,4.0,48.0,0.32,0.22,0.0,0.04,0.58
7432,104.0,12,1.0,0.0,70.0,0.1,0.08,0.0,0.03,0.21
501,65.0,12,1.0,8.0,100.0,1.51,1.12,0.01,0.24,2.89
9013,212.0,12,1.0,8.0,100.0,0.07,0.06,0.0,0.02,0.14
12809,156.0,2,1.0,6.0,57.0,0.04,0.01,0.0,0.0,0.06
5868,449.0,12,1.0,11.0,49.0,0.0,0.0,0.3,0.0,0.3
1880,37.0,11,1.0,9.0,103.0,0.0,0.0,1.07,0.02,1.09
2976,31.0,20,1.0,0.0,100.0,0.6,0.03,0.0,0.05,0.68
11319,322.0,4,1.0,11.0,54.0,0.06,0.02,0.0,0.0,0.08
11984,36.0,7,1.0,11.0,59.0,0.06,0.01,0.0,0.0,0.07
8352,412.0,10,1.0,11.0,21.0,0.02,0.12,0.0,0.03,0.17
410,22.0,14,1.0,0.0,28.0,0.8,1.92,0.06,0.5,3.28
8280,457.0,2,1.0,0.0,123.0,0.0,0.0,0.17,0.0,0.17
11451,215.0,2,1.0,3.0,123.0,0.0,0.0,0.08,0.0,0.08
3885,462.0,15,1.0,7.0,14.0,0.13,0.07,0.27,0.05,0.51
5233,206.0,13,1.0,8.0,100.0,0.11,0.17,0.0,0.07,0.36
13301,181.0,13,1.0,10.0,51.0,0.0,0.04,0.0,0.01,0.05
16448,510.0,4,1.0,10.0,64.0,0.01,0.0,0.0,0.0,0.01
14302,261.0,10,1.0,11.0,1.0,0.01,0.02,0.0,0.01,0.03
9760,506.0,23,1.0,4.0,115.0,0.09,0.03,0.0,0.0,0.12
6320,155.0,12,1.0,0.0,68.0,0.12,0.01,0.0,0.14,0.27
5510,85.0,7,1.0,7.0,125.0,0.0,0.0,0.29,0.04,0.33
1189,114.0,8,1.0,4.0,125.0,0.59,0.14,0.81,0.02,1.56
14367,131.0,5,1.0,6.0,71.0,0.02,0.01,0.0,0.0,0.03
1436,257.0,13,1.0,2.0,54.0,0.81,0.29,0.11,0.14,1.35
8354,427.0,11,1.0,7.0,129.0,0.02,0.02,0.12,0.01,0.17
13041,441.0,15,1.0,3.0,42.0,0.0,0.0,0.05,0.0,0.05
12597,394.0,22,1.0,7.0,63.0,0.03,0.03,0.0,0.01,0.06
